	Id	Company	Country	Work Expirience	Job Years	Professional Training	Position	Salary
186	1186	Google Inc	Australia	8	4.0	True	Teamlead	15237.039999999997
187	1187	Netflix	Australia	5	2.0		Junior	5644.8
188	1188	Netflix	USA	3	1.0	True	Middle	7268.69
189	1189	Google Inc	USA	8	2.0		Teamlead	13249.599999999999
190	1190	Netflix	Australia	4	1.0		Middle	7425.599999999999
191	1191	Amazon	USA	8	2.0		Teamlead	15287.999999999996
192	1192	Amazon	Australia	6	3.0		Senior	9464.0
193	1193	Google Inc	Germany	6	2.0	True	Senior	7893.599999999999
194	1194	Netflix	Germany	8	2.0	True	Teamlead	10130.12
195	1195	Netflix	Germany	7	3.0	True	Senior	7893.599999999999
196	1196	Amazon	USA	6	3.0		Middle	8044.400000000001
197	1197	Amazon	USA	7	2.0		Senior	8112.0
198	1198	Amazon	USA	3	2.0	True	Middle	7225.68
199	1199	Amazon	Germany	8	5.0		Teamlead	11211.199999999999
200	1200	Amazon	USA	3			Middle	6320.6
201	1201	Amazon	USA	8	3.0	True	Teamlead	17581.199999999993
202	1202	Google Inc	Germany	8	2.0	True	Teamlead	12055.679999999998
203	1203	Amazon	USA	8	5.0	True	Teamlead	14064.96
204	1204	Amazon	USA	7	1.0	True	Middle	9251.06
205	1205	Google Inc	Germany	7	1.0		Senior	8736.0
206	1206	Amazon	Australia	6	3.0		Middle	6895.2
207	1207	Netflix	Germany	8	4.0		Teamlead	10410.400000000001
208	1208	Google Inc	USA	8	5.0	True	Teamlead	14148.679999999998
209	1209	Netflix	USA	8	4.0		Teamlead	12012.000000000002
210	1210	Google Inc	Germany	3	3.0	True	Junior	5454.68
211	1211	Amazon	Germany	5		True	Middle	6193.439999999999
212	1212	Google Inc	Germany	5			Junior	4838.4
213	1213	Google Inc	Australia	3	1.0	True	Middle	6709.56
214	1214	Google Inc	USA	5	1.0		Middle	7956.0
215	1215	Amazon	Australia	5	1.0	True	Middle	8539.439999999999
216	1216	Netflix	Australia	5	1.0	True	Junior	6530.159999999999
217	1217	Amazon	USA	3	1.0	True	Middle	7827.82
218	1218	Google Inc	Australia	4		True	Middle	7319.5199999999995
219	1219	Netflix	Australia	3			Middle	5834.400000000001
220	1220	Amazon	Australia	3	1.0		Junior	4804.8
221	1221	Amazon	USA	4	2.0	True	Junior	6027.839999999999
222	1222	Amazon	Germany	6		True	Senior	8551.400000000001
223	1223	Netflix	Germany	4	1.0		Junior	4838.4
224	1224	Netflix	Australia	8	2.0		Teamlead	10410.400000000001
225	1225	Google Inc	Germany	6	1.0	True	Middle	6709.56
226	1226	Amazon	Australia	4	2.0	True	Middle	7882.559999999999
227	1227	Amazon	Australia	3	2.0		Junior	4435.200000000001
228	1228	Google Inc	USA	6	2.0	True	Senior	11661.0
229	1229	Google Inc	Australia	6		True	Middle	8539.44
230	1230	Google Inc	USA	6	3.0	True	Middle	10674.3
231	1231	Google Inc	USA	3	2.0		Junior	6006.000000000001
232	1232	Netflix	Germany	7	2.0	True	Middle	7268.69
233	1233	Amazon	Germany	7	4.0	True	Middle	6709.56
234	1234	Netflix	Australia	6	2.0	True	Middle	7827.82
235	1235	Netflix	Australia	3		True	Middle	7225.68
236	1236	Google Inc	Australia	6	2.0	True	Senior	10046.4
237	1237	Amazon	Australia	8	5.0	True	Teamlead	13060.319999999998
238	1238	Amazon	Australia	4	2.0		Middle	7996.799999999999
239	1239	Google Inc	Germany	4	1.0		Junior	5644.799999999998
240	1240	Netflix	USA	5			Junior	5174.4
241	1241	Netflix	USA	3		True	Junior	5985.9800000000005
242	1242	Amazon	USA	4	1.0	True	Middle	9196.319999999998
243	1243	Amazon	Germany	5	2.0		Middle	5834.4
244	1244	Google Inc	USA	4			Middle	7425.599999999999
245	1245	Google Inc	USA	4	1.0	True	Middle	8539.439999999999
246	1246	Google Inc	Australia	7	3.0	True	Senior	9328.8
247	1247	Amazon	USA	3			Middle	7330.400000000001
248	1248	Google Inc	Germany	5	1.0		Junior	4838.4
249	1249	Google Inc	USA	4	2.0	True	Junior	7573.439999999998
250	1250	Amazon	USA	6	2.0	True	Teamlead	15237.039999999997
251	1251	Google Inc	Australia	6		True	Senior	10106.199999999999
252	1252	Netflix	Australia	7	4.0	True	Middle	7929.48
253	1253	Amazon	Australia	3	1.0		Middle	6283.200000000001
254	1254	Amazon	Australia	7	3.0	True	Teamlead	13138.059999999998
255	1255	Netflix	Germany	4	1.0		Junior	4065.600000000001
256	1256	Google Inc	Germany	7	1.0		Teamlead	11356.799999999997
257	1257	Netflix	USA	8	4.0	True	Teamlead	13060.319999999998
258	1258	Google Inc	Germany	7	1.0	True	Senior	9209.2
259	1259	Amazon	USA	5			Junior	6585.5999999999985
260	1260	Netflix	Germany	8	3.0	True	Teamlead	12055.679999999998
261	1261	Netflix	Germany	4			Junior	5241.599999999999
262	1262	Amazon	Australia	6	2.0	True	Middle	7319.5199999999995
263	1263	Netflix	Germany	4			Junior	4435.200000000001
264	1264	Google Inc	Germany	8	2.0		Teamlead	12230.399999999996
265	1265	Netflix	Germany	4	2.0		Junior	4804.8
266	1266	Netflix	Australia	6		True	Senior	9328.8
267	1267	Amazon	USA	3	1.0		Junior	5174.400000000001
268	1268	Google Inc	Germany	3	1.0	True	Middle	6193.44
269	1269	Amazon	Australia	3	1.0		Junior	5174.4
270	1270	Netflix	Germany	8	3.0	True	Teamlead	13060.319999999998
271	1271	Netflix	Australia	6	2.0		Middle	6806.8
272	1272	Amazon	USA	4	2.0	True	Middle	8539.439999999999
273	1273	Amazon	Germany	5		True	Junior	5564.159999999999
274	1274	Amazon	Germany	6	3.0	True	Teamlead	11116.82
275	1275	Netflix	Australia	4	1.0		Junior	5241.599999999999
276	1276	Netflix	Germany	6	2.0	True	Middle	7319.5199999999995
277	1277	Amazon	USA	7	2.0	True	Middle	9251.06
278	1278	Amazon	Germany	4	2.0		Junior	5241.599999999999
279	1279	Netflix	Germany	4	1.0		Junior	4065.600000000001
280	1280	Amazon	Germany	6	1.0	True	Senior	8611.199999999999
281	1281	Google Inc	USA	6		True	Middle	9251.06
282	1282	Google Inc	Australia	6	3.0		Senior	9464.0
283	1283	Amazon	Germany	5			Junior	4838.4
284	1284	Netflix	Germany	6			Teamlead	8923.2
285	1285	Netflix	Australia	7	1.0		Teamlead	8923.2
286	1286	Google Inc	Germany	3		True	Junior	5454.68
287	1287	Netflix	USA	7	4.0	True	Middle	7827.82
288	1288	Amazon	USA	3	2.0	True	Junior	6906.900000000001
289	1289	Netflix	USA	5	1.0		Junior	5678.4
290	1290	Amazon	Germany	7	4.0	True	Senior	8551.400000000001
291	1291	Amazon	Australia	3	3.0	True	Junior	5525.5199999999995
292	1292	Netflix	Australia	4	1.0		Junior	4838.4
293	1293	Google Inc	USA	8	2.0		Teamlead	12303.199999999999
294	1294	Google Inc	Germany	5			Junior	4435.200000000001
295	1295	Amazon	Australia	8	4.0	True	Teamlead	14148.679999999998
296	1296	Netflix	USA	4	1.0		Junior	5174.4
297	1297	Netflix	Australia	5		True	Junior	5525.52
298	1298	Netflix	Germany	6	2.0		Middle	5834.400000000001
299	1299	Amazon	Germany	8	4.0	True	Teamlead	12892.879999999997
300	1300	Amazon	Germany	4	1.0		Middle	5875.2
301	1301	Amazon	Australia	6	3.0		Teamlead	10545.6
302	1302	Netflix	Germany	8	4.0		Teamlead	11356.8
303	1303	Google Inc	Germany	7	1.0	True	Senior	8551.400000000001
304	1304	Google Inc	USA	3	1.0		Middle	7293.000000000001
305	1305	Google Inc	Australia	6	3.0	True	Teamlead	15237.039999999997
306	1306	Amazon	Germany	8	5.0		Teamlead	12230.399999999996
307	1307	Amazon	Australia	3		True	Middle	6709.56
308	1308	Google Inc	Australia	3	3.0		Junior	5605.6
309	1309	Google Inc	Germany	5			Middle	5834.4
310	1310	Amazon	Germany	8	3.0	True	Teamlead	12892.879999999997
311	1311	Netflix	Germany	8	3.0		Teamlead	9609.6
312	1312	Google Inc	USA	7	2.0		Teamlead	14195.999999999998
313	1313	Google Inc	Germany	7	3.0	True	Teamlead	13060.319999999996
314	1314	Netflix	Australia	4	1.0		Middle	7425.599999999999
315	1315	Amazon	Australia	7	1.0		Middle	6895.2
316	1316	Google Inc	Australia	7	2.0	True	Middle	8590.27
317	1317	Google Inc	Germany	7	1.0		Teamlead	9666.800000000001
318	1318	Netflix	Australia	7	2.0		Senior	8112.0
319	1319	Netflix	USA	5	1.0	True	Middle	8539.439999999999
320	1320	Google Inc	Australia	7	4.0		Teamlead	10545.6
321	1321	Google Inc	Australia	7	4.0		Teamlead	13249.599999999999
322	1322	Netflix	USA	3	3.0	True	Junior	5950.56
323	1323	Netflix	Australia	7	4.0		Teamlead	9666.800000000003
324	1324	Google Inc	USA	4		True	Middle	7929.48
325	1325	Google Inc	USA	8	2.0		Teamlead	14268.799999999997
326	1326	Amazon	Australia	5	1.0	True	Junior	6027.839999999999
327	1327	Amazon	Australia	4	1.0		Junior	6115.2
328	1328	Amazon	Germany	6	1.0		Senior	8736.0
329	1329	Google Inc	Australia	3		True	Junior	5100.4800000000005
330	1330	Google Inc	Germany	8	4.0	True	Teamlead	13060.319999999998
331	1331	Google Inc	USA	6		True	Senior	11661.0
332	1332	Google Inc	Germany	3		True	Middle	5677.32
333	1333	Amazon	Germany	6	3.0		Middle	6320.6
334	1334	Amazon	Germany	6			Teamlead	10545.6
335	1335	Google Inc	Australia	7	2.0	True	Teamlead	12127.439999999999
336	1336	Netflix	Germany	5	2.0		Middle	6364.8
337	1337	Amazon	USA	7	2.0		Senior	10192.0
338	1338	Amazon	USA	3	2.0		Middle	6806.8
339	1339	Amazon	Germany	6	2.0	True	Teamlead	11116.82
340	1340	Google Inc	Australia	3	3.0	True	Middle	6709.56
341	1341	Netflix	USA	8	4.0	True	Teamlead	13813.800000000001
342	1342	Google Inc	Germany	5	1.0		Middle	5875.2
343	1343	Amazon	Germany	5	1.0	True	Junior	5100.4800000000005
344	1344	Google Inc	USA	8	2.0	True	Teamlead	15069.599999999999
345	1345	Netflix	Australia	6	2.0		Senior	9464.0
346	1346	Amazon	Germany	6	1.0	True	Middle	7929.48
347	1347	Google Inc	Australia	7	1.0		Middle	8663.2
348	1348	Netflix	Australia	3	1.0	True	Middle	6623.54
349	1349	Netflix	USA	4	1.0	True	Middle	7319.5199999999995
350	1350	Google Inc	Germany	6	2.0	True	Middle	7827.82
351	1351	Netflix	Germany	6			Middle	6895.2
352	1352	Google Inc	Germany	5	2.0		Middle	6364.8
353	1353	Netflix	Australia	5	1.0	True	Junior	6027.839999999999
354	1354	Amazon	Australia	6	1.0		Middle	7425.6
355	1355	Netflix	Germany	5		True	Middle	6193.439999999999
356	1356	Google Inc	Australia	5	1.0	True	Junior	6530.159999999999
357	1357	Amazon	USA	3	3.0	True	Junior	6906.900000000001
358	1358	Google Inc	Australia	6	2.0	True	Teamlead	15237.039999999997
359	1359	Amazon	USA	6	1.0	True	Senior	11661.0
360	1360	Netflix	Germany	4	1.0		Middle	4936.800000000001
361	1361	Netflix	Australia	8	3.0	True	Teamlead	11051.039999999999
362	1362	Amazon	Germany	4		True	Middle	6193.439999999999
363	1363	Amazon	Germany	5	1.0		Junior	5174.4
364	1364	Amazon	Australia	7	1.0	True	Senior	11720.8
365	1365	Google Inc	Germany	3	1.0	True	Middle	6150.43
366	1366	Amazon	Germany	8	2.0		Teamlead	10410.400000000001
367	1367	Google Inc	USA	4	1.0		Junior	6585.5999999999985
368	1368	Amazon	USA	6		True	Teamlead	14148.68
369	1369	Google Inc	USA	4	2.0	True	Junior	7032.48
370	1370	Amazon	Germany	3	1.0	True	Junior	5065.06
371	1371	Google Inc	USA	5		True	Middle	8539.439999999999
372	1372	Google Inc	Germany	5	1.0	True	Middle	6193.439999999999
373	1373	Netflix	Germany	5	1.0		Middle	5385.599999999999
374	1374	Amazon	Germany	5	2.0		Junior	5174.4
375	1375	Netflix	Germany	7	3.0		Middle	6895.2
376	1376	Netflix	Germany	6	1.0	True	Teamlead	12127.439999999999
377	1377	Amazon	USA	3			Middle	6806.8
378	1378	Amazon	Australia	7	3.0		Senior	8788.0
379	1379	Amazon	Australia	5	1.0	True	Junior	5564.159999999999
380	1380	Google Inc	Germany	7	4.0	True	Middle	7827.82
381	1381	Netflix	Germany	7	4.0		Middle	5834.400000000001
382	1382	Netflix	Germany	3	2.0	True	Middle	5204.210000000001
383	1383	Google Inc	Australia	6	1.0	True	Middle	9962.68
384	1384	Netflix	USA	3	1.0	True	Middle	6150.430000000001
385	1385	Netflix	Australia	3	3.0		Junior	4804.8
386	1386	Amazon	Germany	3			Middle	5759.6
387	1387	Amazon	Australia	7	1.0		Senior	8736.0
388	1388	Netflix	USA	5		True	Junior	5950.5599999999995
389	1389	Netflix	USA	6	1.0		Middle	7956.0
390	1390	Netflix	USA	7	4.0	True	Teamlead	12827.100000000004
391	1391	Amazon	USA	8	3.0	True	Teamlead	16325.4
392	1392	Google Inc	USA	3	2.0		Junior	5605.6
393	1393	Netflix	Germany	3	3.0	True	Junior	4675.4400000000005
394	1394	Google Inc	Germany	4	1.0	True	Middle	6193.439999999999
395	1395	Netflix	Germany	5	1.0		Junior	4838.4
396	1396	Google Inc	Germany	4		True	Junior	5564.159999999999
397	1397	Google Inc	USA	4	1.0	True	Junior	6530.159999999999
398	1398	Amazon	Germany	4			Middle	6364.8
399	1399	Amazon	USA	7	2.0	True	Middle	7929.48
400	1400	Amazon	Australia	7	1.0	True	Teamlead	13060.319999999996
401	1401	Netflix	USA	5	1.0		Middle	7425.599999999999
402	1402	Google Inc	Germany	8	4.0	True	Teamlead	13060.319999999998
403	1403	Google Inc	USA	4			Junior	5644.8
404	1404	Amazon	USA	5		True	Middle	8539.439999999999
405	1405	Netflix	USA	3	2.0		Junior	4804.8
406	1406	Google Inc	Germany	7	2.0	True	Middle	6709.56
407	1407	Netflix	Australia	6	3.0	True	Teamlead	10261.68
408	1408	Google Inc	USA	6	1.0	True	Teamlead	14148.68
409	1409	Google Inc	Germany	7	1.0		Middle	7425.6
410	1410	Netflix	USA	7	2.0		Middle	7425.6
411	1411	Google Inc	USA	7	3.0	True	Teamlead	16325.399999999996
412	1412	Amazon	Australia	8	2.0		Teamlead	12303.199999999999
413	1413	Amazon	Australia	5	1.0	True	Junior	6491.5199999999995
414	1414	Amazon	Australia	4	1.0		Junior	5644.799999999998
415	1415	Netflix	Germany	3	1.0		Junior	4065.600000000001
416	1416	Netflix	USA	8	2.0	True	Teamlead	15237.039999999997
417	1417	Amazon	Australia	8	3.0	True	Teamlead	14064.959999999994
418	1418	Amazon	USA	7	2.0		Teamlead	13182.0
419	1419	Google Inc	Germany	7	2.0		Teamlead	9666.800000000001
420	1420	Amazon	USA	5	1.0		Junior	5644.8
421	1421	Netflix	Germany	4	1.0	True	Junior	5564.159999999999
422	1422	Google Inc	Australia	3	1.0		Junior	5605.6
423	1423	Amazon	Australia	6	2.0		Senior	7488.0
424	1424	Amazon	USA	4	1.0	True	Junior	8114.399999999999
425	1425	Netflix	Australia	8	2.0	True	Teamlead	12055.679999999998
426	1426	Netflix	Germany	4	2.0	True	Middle	6193.439999999999
427	1427	Google Inc	USA	5	1.0	True	Middle	7929.48
428	1428	Netflix	USA	3	1.0	True	Junior	6375.599999999999
429	1429	Google Inc	USA	5	2.0	True	Junior	6530.159999999999
430	1430	Google Inc	Germany	6			Teamlead	9666.800000000001
431	1431	Amazon	Australia	6	2.0	True	Middle	9251.06
432	1432	Google Inc	Australia	5	1.0	True	Middle	7882.559999999999
433	1433	Amazon	Australia	7	3.0		Teamlead	12303.2
434	1434	Amazon	Germany	3		True	Middle	6150.43
435	1435	Netflix	Australia	4		True	Junior	5950.5599999999995
436	1436	Netflix	Germany	8	2.0	True	Teamlead	10130.12
437	1437	Google Inc	USA	6	3.0		Middle	8663.2
438	1438	Google Inc	Germany	5			Middle	6854.4
439	1439	Netflix	USA	6	2.0	True	Teamlead	11116.820000000003
440	1440	Amazon	Australia	4	1.0	True	Junior	7032.48
441	1441	Amazon	USA	4			Middle	7344.0
442	1442	Amazon	USA	3	1.0		Middle	6320.6
